akapit,indent,,
aplikować (np. lek),apply,,
awans,promotion,,
badanie,research,,
bez względu,regardless,,
bogactwo,wealth,,
brak,lack,,
brzytwa,razor,,
burmistrz,mayor,,
być w formie,be in shape,,
cel,objective,goal,purpose
celowo,on purpose,,
chociaż,though,,
cierpieć,suffer,,
czek,check,,
częste,frequent,,
część / porcja,portion,,
czysty,pure,,
czytelny,legible,,
dług,dept,,
dodatkowo,in addition,,
dogodne,convenient,,
dokonać,achive,,
domniemany,implicit,,
dosięgnąć,reach,,
dostarczać,provide,,
doświadczenie zawodowe,professional experience,,
dotrzeć (do),reach,,
dowodzić,be in charge,,
dowód,evidence,,
dwa razy więcej,twice as much as,,
dwujęzyczny,bilingual,,
dziedziczyć,inherit,,
dzielnica,district,,
etap końcowy,final stage,,
gablota,cabinet,,
gleba,soil,,
gniazdo,nest,,
grzebień,comb,,
gubernator,governor,,
handel,trade,,
hasło (np. w książce),entry,record,
ilość,amount,quantity,
inaczej,otherwise,,
istnienie,existance,,
istotny,relevant,,
język ojczysty,mother tongue,,
kampania,campaign,,
kandydat,candidate,,
karo,diamond,,
kier,heart,,
kiermasz,fair,,
kłótnia,argument,,
komisja,committee,,
komitet,committee,,
korzyść,benefit,,
koszyk,basket,,
kotwica,anchor,,
kuracja,treatment,,
kurz,dust,,
kwestia czasu,matter of time,,
kwestia,issue,matter,
leczenie,treatment,,
liczba mnoga,plural,,
łącznie,in total,,
maszynka do golenia,razor,,
mieć na coś wpływ,affect sth,,
mieć ochotę na…,feel like doing,,
miło z twojej strony,kind of you,,
miły,kind,,
mimo że,although,,
miska,bowl,,
mniej więcej,approximately,,
mocna strona,strenght,,
na przykład,for instance,,
nagroda,prize,,
nakryć do stołu,set the table,,
nastawienie,attitude,,
nawet jeśli,even though,,
nawias,bracket,,
nieczynne,out of service,,
nieodłączny,inherent,,
nieprzezroczystość,opacity,,
niezręczny,awkward,,
nożyczki,scissors,,
nudny,tedious,,
